,Customer ID,Proposal Value
0,10084,868087.94
1,10152,15834.04
2,10179,65282.86
3,"10179
",0.0
4,10293,90696.51
5,10392,74308.79999999999
6,10966,763825.31
7,"10966
",21764.0
8,11269,1163114.9000000001
9,"11269
",128658.5
10,12042,56284.57
11,12525,17863.75
12,13091,8357.6
13,14584,8447.2
14,"14889
",6128.5
15,15095,22106.0
16,15548,4314.5
17,15557,6832.0
18,15773,2683.2
19,16580,49842.9
20,"16580
",4340.0
21,16645,2582.9
22,16908,57648.6
23,17403,30600.0
24,18427,346161.0
25,18563,6924.0
26,18582,226974.0
27,18711,1032699.3599999999
28,18844,75781.9
29,18992,79960.86
30,19082,9259.2
31,"19151
",40173.350000000006
32,19257,22443.2
33,20279,39669.0
34,20309,5409.6
35,20490,2088147.3700000003
36,20735,10474.8
37,"20735
",51865.46
38,20859,43985.25
39,20956,7086.0
40,21665,3631.6
41,21890,28426.7
42,22021,6786.4
43,22025,37624.8
44,CP11651,7293.6
45,CP12371,41044.0
46,CP15634,3274.32
47,CP15655,71461.76999999999
48,CP17089,11005.4
49,CP35715,18518.5
50,CP37269,67907.8
51,CP38138,85730.0
52,CP38220,222948.35
53,CP38239,34260.0
54,CP38341,386039.7
55,CP38549,9203.2
56,CP38585,3180.0
57,CP38596,4119.5
58,CP38602,251143.46
59,CP38651,401974.12
60,CP38657,7189.0
61,CP38703,36257.4
62,CP38726,67892.54
63,CP38741,436158.4199999999
64,CP38764,2577.7
65,CP38777,0.0
66,CP38836,4807.0
67,CP38837,255982.4
68,CP38862,252626.38
69,CP39125,33335.44
70,CP39263,0.0
71,CP39332,34123.3
72,CP39378,0.0
73,CP39416,106052.86
74,cp39263,306325.22
